"RELATIONSHIP_ID","FROM_VOCABULARY_ID","FROM_DOMAIN_ID","FROM_STANDARD_CONCEPT","TO_VOCABULARY_ID","TO_DOMAIN_ID","TO_STANDARD_CONCEPT","RELATIONSHIP_COUNT"
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Measurement","S",166
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Measurement",NA,3
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Metadata",NA,26
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Observation","S",3542
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Observation",NA,98
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Place of Service",NA,5
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Procedure","S",60
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Procedure",NA,32
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Race",NA,23
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Spec Anatomic Site","S",10
"Concept same_as to","SNOMED","Condition",NA,"SNOMED","Type Concept",NA,15
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Condition","S",1
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Device","S",258
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Device",NA,2
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Drug",NA,9
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Metadata",NA,8
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Observation","S",12
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Procedure","S",5
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Procedure",NA,1
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Spec Anatomic Site","S",1
"Concept same_as to","SNOMED","Device",NA,"SNOMED","Type Concept",NA,3
"Concept same_as to","SNOMED","Drug",NA,"SNOMED","Device","S",230
"Concept same_as to","SNOMED","Drug",NA,"SNOMED","Device",NA,1
"Concept same_as to","SNOMED","Drug",NA,"SNOMED","Drug",NA,1842
"Concept same_as to","SNOMED","Drug",NA,"SNOMED","Observation","S",20
"Concept same_as to","SNOMED","Drug",NA,"SNOMED","Observation",NA,1
"Concept same_as to","SNOMED","Measurement",NA,"SNOMED","Condition","S",19
"Concept same_as to","SNOMED","Measurement",NA,"SNOMED","Measurement","S",96
"Concept same_as to","SNOMED","Measurement",NA,"SNOMED","Procedure","S",4
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Condition","S",1763
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Condition",NA,61
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Device","S",784
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Drug",NA,3869
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Meas Value","S",21
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Measurement","S",398
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Measurement",NA,1
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Metadata",NA,7
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Observation","S",7861
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Observation",NA,307
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Place of Service",NA,36
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Procedure","S",193
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Procedure",NA,17
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Provider",NA,108
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Race",NA,62
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Relationship","S",164
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Route","S",6
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Spec Anatomic Site","S",491
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Spec Anatomic Site",NA,4
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Specimen","S",69
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Type Concept",NA,22
"Concept same_as to","SNOMED","Observation",NA,"SNOMED","Unit",NA,16
"Concept same_as to","SNOMED","Place of Service",NA,"SNOMED","Place of Service",NA,1
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Condition","S",102
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Condition",NA,16
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Device","S",9
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Device",NA,1
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Drug",NA,9
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Measurement","S",3779
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Measurement",NA,32
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Observation","S",1370
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Observation",NA,37
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Place of Service",NA,1
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Procedure","S",6938
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Procedure",NA,638
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Provider",NA,1
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Spec Anatomic Site","S",2
"Concept same_as to","SNOMED","Procedure",NA,"SNOMED","Type Concept",NA,5
"Concept same_as to","SNOMED","Provider",NA,"SNOMED","Provider",NA,2
"Concept same_as to","SNOMED","Race",NA,"SNOMED","Race",NA,9
"Concept same_as to","SNOMED","Relationship",NA,"SNOMED","Observation","S",1
"Concept same_as to","SNOMED","Relationship",NA,"SNOMED","Relationship","S",3
"Concept same_as to","SNOMED","Route",NA,"SNOMED","Route","S",4
"Concept same_as to","SNOMED","Spec Anatomic Site",NA,"SNOMED","Observation","S",1
"Concept same_as to","SNOMED","Spec Anatomic Site",NA,"SNOMED","Spec Anatomic Site","S",232
"Concept same_as to","SNOMED","Spec Anatomic Site",NA,"SNOMED","Spec Anatomic Site",NA,2
"Concept same_as to","SNOMED","Specimen",NA,"SNOMED","Specimen","S",9
"Concept same_as to","SNOMED","Type Concept",NA,"SNOMED","Observation","S",1
"Concept same_as to","SNOMED","Type Concept",NA,"SNOMED","Type Concept",NA,93
"Concept same_as to","SNOMED","Unit",NA,"SNOMED","Observation","S",1
"Concept same_as to","SNOMED","Unit",NA,"SNOMED","Unit",NA,71
"Concept was_a from","SNOMED","Condition","S","SNOMED","Condition",NA,11991
"Concept was_a from","SNOMED","Condition","S","SNOMED","Measurement",NA,2
"Concept was_a from","SNOMED","Condition","S","SNOMED","Observation",NA,330
"Concept was_a from","SNOMED","Condition","S","SNOMED","Procedure",NA,9
"Concept was_a from","SNOMED","Condition",NA,"SNOMED","Condition",NA,272
"Concept was_a from","SNOMED","Condition",NA,"SNOMED","Observation",NA,13
"Concept was_a from","SNOMED","Device","S","SNOMED","Device",NA,131
"Concept was_a from","SNOMED","Device","S","SNOMED","Drug",NA,6
"Concept was_a from","SNOMED","Device","S","SNOMED","Observation",NA,35
"Concept was_a from","SNOMED","Device","S","SNOMED","Procedure",NA,1
"Concept was_a from","SNOMED","Device",NA,"SNOMED","Device",NA,1
"Concept was_a from","SNOMED","Drug",NA,"SNOMED","Device",NA,13
"Concept was_a from","SNOMED","Drug",NA,"SNOMED","Drug",NA,1760
"Concept was_a from","SNOMED","Drug",NA,"SNOMED","Observation",NA,11
"Concept was_a from","SNOMED","Measurement","S","SNOMED","Condition",NA,24
"Concept was_a from","SNOMED","Measurement","S","SNOMED","Measurement",NA,2
"Concept was_a from","SNOMED","Measurement","S","SNOMED","Observation",NA,5
"Concept was_a from","SNOMED","Measurement","S","SNOMED","Procedure",NA,260
"Concept was_a from","SNOMED","Measurement",NA,"SNOMED","Procedure",NA,12
"Concept was_a from","SNOMED","Metadata",NA,"SNOMED","Condition",NA,73
"Concept was_a from","SNOMED","Metadata",NA,"SNOMED","Drug",NA,1
"Concept was_a from","SNOMED","Metadata",NA,"SNOMED","Metadata",NA,5
"Concept was_a from","SNOMED","Metadata",NA,"SNOMED","Observation",NA,51
"Concept was_a from","SNOMED","Observation","S","SNOMED","Condition",NA,2062
"Concept was_a from","SNOMED","Observation","S","SNOMED","Device",NA,5
"Concept was_a from","SNOMED","Observation","S","SNOMED","Drug",NA,11
"Concept was_a from","SNOMED","Observation","S","SNOMED","Observation",NA,2327
"Concept was_a from","SNOMED","Observation","S","SNOMED","Procedure",NA,206
"Concept was_a from","SNOMED","Observation",NA,"SNOMED","Condition",NA,109
"Concept was_a from","SNOMED","Observation",NA,"SNOMED","Observation",NA,81
"Concept was_a from","SNOMED","Place of Service",NA,"SNOMED","Observation",NA,11
"Concept was_a from","SNOMED","Procedure","S","SNOMED","Condition",NA,14
"Concept was_a from","SNOMED","Procedure","S","SNOMED","Device",NA,2
"Concept was_a from","SNOMED","Procedure","S","SNOMED","Observation",NA,59
"Concept was_a from","SNOMED","Procedure","S","SNOMED","Procedure",NA,5096
"Concept was_a from","SNOMED","Procedure",NA,"SNOMED","Condition",NA,1
"Concept was_a from","SNOMED","Procedure",NA,"SNOMED","Device",NA,1
"Concept was_a from","SNOMED","Procedure",NA,"SNOMED","Procedure",NA,108
"Concept was_a from","SNOMED","Provider",NA,"SNOMED","Observation",NA,24
"Concept was_a from","SNOMED","Race",NA,"SNOMED","Observation",NA,11
"Concept was_a from","SNOMED","Route","S","SNOMED","Route",NA,2
"Concept was_a from","SNOMED","Spec Anatomic Site","S","SNOMED","Observation",NA,252
"Concept was_a from","SNOMED","Spec Anatomic Site","S","SNOMED","Spec Anatomic Site",NA,3
"Concept was_a from","SNOMED","Spec Anatomic Site",NA,"SNOMED","Observation",NA,5
"Concept was_a from","SNOMED","Specimen","S","SNOMED","Observation",NA,5
"Concept was_a from","SNOMED","Type Concept",NA,"SNOMED","Observation",NA,2
"Concept was_a from","SNOMED","Unit",NA,"SNOMED","Observation",NA,1
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Condition","S",11991
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Condition",NA,272
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Measurement","S",24
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Metadata",NA,73
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Observation","S",2062
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Observation",NA,109
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Procedure","S",14
"Concept was_a to","SNOMED","Condition",NA,"SNOMED","Procedure",NA,1
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Device","S",131
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Device",NA,1
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Drug",NA,13
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Observation","S",5
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Procedure","S",2
"Concept was_a to","SNOMED","Device",NA,"SNOMED","Procedure",NA,1
"Concept was_a to","SNOMED","Drug",NA,"SNOMED","Device","S",6
"Concept was_a to","SNOMED","Drug",NA,"SNOMED","Drug",NA,1760
"Concept was_a to","SNOMED","Drug",NA,"SNOMED","Metadata",NA,1
"Concept was_a to","SNOMED","Drug",NA,"SNOMED","Observation","S",11
"Concept was_a to","SNOMED","Measurement",NA,"SNOMED","Condition","S",2
"Concept was_a to","SNOMED","Measurement",NA,"SNOMED","Measurement","S",2
"Concept was_a to","SNOMED","Metadata",NA,"SNOMED","Metadata",NA,5
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Condition","S",330
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Condition",NA,13
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Device","S",35
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Drug",NA,11
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Measurement","S",5
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Metadata",NA,51
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Observation","S",2327
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Observation",NA,81
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Place of Service",NA,11
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Procedure","S",59
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Provider",NA,24
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Race",NA,11
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Spec Anatomic Site","S",252
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Spec Anatomic Site",NA,5
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Specimen","S",5
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Type Concept",NA,2
"Concept was_a to","SNOMED","Observation",NA,"SNOMED","Unit",NA,1
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Condition","S",9
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Device","S",1
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Measurement","S",260
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Measurement",NA,12
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Observation","S",206
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Procedure","S",5096
"Concept was_a to","SNOMED","Procedure",NA,"SNOMED","Procedure",NA,108
"Concept was_a to","SNOMED","Route",NA,"SNOMED","Route","S",2
"Concept was_a to","SNOMED","Spec Anatomic Site",NA,"SNOMED","Spec Anatomic Site","S",3
"Consists of","RxNorm","Drug","S","RxNorm","Drug","S",70058
"Consists of","RxNorm","Drug","S","RxNorm","Drug",NA,1962
"Consists of","RxNorm","Drug","S","RxNorm Extension","Drug",NA,1
"Consists of","RxNorm","Drug",NA,"RxNorm","Drug","S",3261
"Consists of","RxNorm","Drug",NA,"RxNorm","Drug",NA,8250
"Consists of","RxNorm Extension","Drug","S","RxNorm","Drug","S",48964
"Consists of","RxNorm Extension","Drug","S","RxNorm","Drug",NA,2337
"Consists of","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",281057
"Consists of","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,1537
"Consists of","RxNorm Extension","Drug",NA,"RxNorm","Drug","S",1447
"Consists of","RxNorm Extension","Drug",NA,"RxNorm","Drug",NA,54
"Consists of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",672
"Consists of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,1077
"Constitutes","RxNorm","Drug","S","RxNorm","Drug","S",70058
"Constitutes","RxNorm","Drug","S","RxNorm","Drug",NA,3261
"Constitutes","RxNorm","Drug","S","RxNorm Extension","Drug","S",48964
"Constitutes","RxNorm","Drug","S","RxNorm Extension","Drug",NA,1447
"Constitutes","RxNorm","Drug",NA,"RxNorm","Drug","S",1962
"Constitutes","RxNorm","Drug",NA,"RxNorm","Drug",NA,8250
"Constitutes","RxNorm","Drug",NA,"RxNorm Extension","Drug","S",2337
"Constitutes","RxNorm","Drug",NA,"RxNorm Extension","Drug",NA,54
"Constitutes","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",281057
"Constitutes","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,672
"Constitutes","RxNorm Extension","Drug",NA,"RxNorm","Drug","S",1
"Constitutes","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",1537
"Constitutes","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,1077
"Contained in","RxNorm","Drug","S","RxNorm","Drug","S",2539
"Contained in","RxNorm","Drug","S","RxNorm","Drug",NA,51
"Contained in","RxNorm","Drug","S","RxNorm Extension","Drug","S",5004
"Contained in","RxNorm","Drug","S","RxNorm Extension","Drug",NA,25
"Contained in","RxNorm","Drug",NA,"RxNorm","Drug","S",5
"Contained in","RxNorm","Drug",NA,"RxNorm","Drug",NA,44
"Contained in","RxNorm","Drug",NA,"RxNorm Extension","Drug","S",3
"Contained in","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",5688
"Contained in","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,20
"Contained in","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",219
"Contained in","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,21
"Contained in panel","LOINC","Measurement","S","LOINC","Measurement","S",16391
"Contained in panel","LOINC","Measurement","S","LOINC","Measurement",NA,4034
"Contained in panel","LOINC","Measurement","S","LOINC","Observation","S",1172
"Contained in panel","LOINC","Measurement","S","LOINC","Observation",NA,50
"Contained in panel","LOINC","Measurement",NA,"LOINC","Measurement","S",46
"Contained in panel","LOINC","Measurement",NA,"LOINC","Measurement",NA,519
"Contained in panel","LOINC","Measurement",NA,"LOINC","Observation","S",16
"Contained in panel","LOINC","Observation","S","LOINC","Measurement","S",6622
"Contained in panel","LOINC","Observation","S","LOINC","Measurement",NA,29
"Contained in panel","LOINC","Observation","S","LOINC","Observation","S",17021
"Contained in panel","LOINC","Observation","S","LOINC","Observation",NA,239
"Contained in panel","LOINC","Observation",NA,"LOINC","Measurement","S",2
"Contained in panel","LOINC","Observation",NA,"LOINC","Measurement",NA,1
"Contained in panel","LOINC","Observation",NA,"LOINC","Observation","S",19
"Contained in panel","LOINC","Observation",NA,"LOINC","Observation",NA,412
"Contained in version","CDM","Metadata","S","CDM","Metadata","S",3749
"Contains","RxNorm","Drug","S","RxNorm","Drug","S",2539
"Contains","RxNorm","Drug","S","RxNorm","Drug",NA,5
"Contains","RxNorm","Drug",NA,"RxNorm","Drug","S",51
"Contains","RxNorm","Drug",NA,"RxNorm","Drug",NA,44
"Contains","RxNorm Extension","Drug","S","RxNorm","Drug","S",5004
"Contains","RxNorm Extension","Drug","S","RxNorm","Drug",NA,3
"Contains","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",5688
"Contains","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,219
"Contains","RxNorm Extension","Drug",NA,"RxNorm","Drug","S",25
"Contains","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",20
"Contains","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,21
"Context of","HemOnc","Procedure","S","HemOnc","Procedure",NA,4
"Context of","HemOnc","Procedure","S","HemOnc","Regimen","S",2667
"Context of","HemOnc","Regimen","S","HemOnc","Regimen","S",5
"Count of ing of","SNOMED","Observation","S","SNOMED","Device","S",3
"Count of ing of","SNOMED","Observation","S","SNOMED","Drug",NA,13196
"Current treated by","HemOnc","Condition",NA,"HemOnc","Procedure",NA,2
"Current treated by","HemOnc","Condition",NA,"HemOnc","Regimen","S",2426
"Denom value of","SNOMED","Observation","S","SNOMED","Drug",NA,7269
"Denom value of","SNOMED","Observation","S","SNOMED","Observation",NA,2
"Denominator unit of","SNOMED","Unit",NA,"SNOMED","Drug",NA,7269
"Denominator unit of","SNOMED","Unit",NA,"SNOMED","Observation",NA,2
"Device used by","SNOMED","Device","S","ICD9Proc","Procedure","S",275
"Device used by","SNOMED","Device","S","ICD9Proc","Procedure",NA,235
"Device used by","SNOMED","Device","S","OPCS4","Procedure","S",158
"Device used by","SNOMED","Device","S","OPCS4","Specimen",NA,1
"Device used by","SNOMED","Device","S","SNOMED","Measurement","S",212
"Device used by","SNOMED","Device","S","SNOMED","Measurement",NA,10
"Device used by","SNOMED","Device","S","SNOMED","Observation","S",35
"Device used by","SNOMED","Device","S","SNOMED","Procedure","S",5400
"Device used by","SNOMED","Device","S","SNOMED","Procedure",NA,79
"Device used by","SNOMED","Device",NA,"SNOMED","Procedure","S",4
"Device used by","SNOMED","Device",NA,"SNOMED","Procedure",NA,1
"Dir device of","SNOMED","Device","S","ICD9Proc","Procedure","S",162
"Dir device of","SNOMED","Device","S","ICD9Proc","Procedure",NA,235
"Dir device of","SNOMED","Device","S","OPCS4","Procedure","S",133
"Dir device of","SNOMED","Device","S","SNOMED","Measurement","S",1
"Dir device of","SNOMED","Device","S","SNOMED","Observation","S",29
"Dir device of","SNOMED","Device","S","SNOMED","Procedure","S",4300
"Dir device of","SNOMED","Device","S","SNOMED","Procedure",NA,198
"Dir device of","SNOMED","Device",NA,"OPCS4","Procedure","S",1
"Dir device of","SNOMED","Device",NA,"SNOMED","Procedure","S",27
"Dir device of","SNOMED","Device",NA,"SNOMED","Procedure",NA,2
"Dir morph of","SNOMED","Observation","S","ICD9Proc","Procedure","S",218
"Dir morph of","SNOMED","Observation","S","ICD9Proc","Procedure",NA,408
"Dir morph of","SNOMED","Observation","S","OPCS4","Procedure","S",280
"Dir morph of","SNOMED","Observation","S","SNOMED","Observation","S",5
"Dir morph of","SNOMED","Observation","S","SNOMED","Procedure","S",7599
"Dir morph of","SNOMED","Observation","S","SNOMED","Procedure",NA,108
"Dir morph of","SNOMED","Observation",NA,"ICD9Proc","Procedure","S",1
"Dir morph of","SNOMED","Observation",NA,"ICD9Proc","Procedure",NA,1
"Dir morph of","SNOMED","Observation",NA,"OPCS4","Procedure","S",2
"Dir morph of","SNOMED","Observation",NA,"SNOMED","Procedure","S",160
"Dir morph of","SNOMED","Observation",NA,"SNOMED","Procedure",NA,9
"Dir morph of","SNOMED","Spec Anatomic Site","S","ICD9Proc","Procedure","S",5
"Dir morph of","SNOMED","Spec Anatomic Site","S","ICD9Proc","Procedure",NA,39
"Dir morph of","SNOMED","Spec Anatomic Site","S","OPCS4","Procedure","S",13
"Dir morph of","SNOMED","Spec Anatomic Site","S","SNOMED","Observation","S",13
"Dir morph of","SNOMED","Spec Anatomic Site","S","SNOMED","Procedure","S",322
"Dir morph of","SNOMED","Spec Anatomic Site","S","SNOMED","Procedure",NA,6
"Dir proc site of","SNOMED","Observation","S","SNOMED","Procedure","S",6
"Dir proc site of","SNOMED","Spec Anatomic Site","S","ICD9Proc","Procedure","S",1174
"Dir proc site of","SNOMED","Spec Anatomic Site","S","ICD9Proc","Procedure",NA,1931
"Dir proc site of","SNOMED","Spec Anatomic Site","S","OPCS4","Procedure","S",1346
"Dir proc site of","SNOMED","Spec Anatomic Site","S","SNOMED","Measurement","S",175
"Dir proc site of","SNOMED","Spec Anatomic Site","S","SNOMED","Measurement",NA,11
"Dir proc site of","SNOMED","Spec Anatomic Site","S","SNOMED","Observation","S",289
"Dir proc site of","SNOMED","Spec Anatomic Site","S","SNOMED","Procedure","S",35702
"Dir proc site of","SNOMED","Spec Anatomic Site","S","SNOMED","Procedure",NA,1119
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"ICD9Proc","Procedure","S",10
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"ICD9Proc","Procedure",NA,8
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"OPCS4","Procedure","S",11
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Measurement","S",1
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Observation","S",25
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Procedure","S",515
"Dir proc site of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Procedure",NA,30
"Dir subst of","SNOMED","Device","S","ICD9Proc","Procedure","S",19
"Dir subst of","SNOMED","Device","S","ICD9Proc","Procedure",NA,41
"Dir subst of","SNOMED","Device","S","OPCS4","Procedure","S",36
"Dir subst of","SNOMED","Device","S","SNOMED","Measurement","S",1
"Dir subst of","SNOMED","Device","S","SNOMED","Procedure","S",668
"Dir subst of","SNOMED","Device","S","SNOMED","Procedure",NA,15
"Dir subst of","SNOMED","Device",NA,"SNOMED","Procedure","S",5
"Dir subst of","SNOMED","Device",NA,"SNOMED","Procedure",NA,3
"Dir subst of","SNOMED","Drug",NA,"ICD9Proc","Procedure","S",36
"Dir subst of","SNOMED","Drug",NA,"ICD9Proc","Procedure",NA,53
"Dir subst of","SNOMED","Drug",NA,"OPCS4","Procedure","S",26
"Dir subst of","SNOMED","Drug",NA,"SNOMED","Measurement","S",1
"Dir subst of","SNOMED","Drug",NA,"SNOMED","Observation","S",28
"Dir subst of","SNOMED","Drug",NA,"SNOMED","Procedure","S",2202
"Dir subst of","SNOMED","Drug",NA,"SNOMED","Procedure",NA,73
"Dir subst of","SNOMED","Observation","S","ICD9Proc","Procedure","S",40
"Dir subst of","SNOMED","Observation","S","ICD9Proc","Procedure",NA,69
"Dir subst of","SNOMED","Observation","S","OPCS4","Procedure","S",84
"Dir subst of","SNOMED","Observation","S","SNOMED","Measurement","S",14
"Dir subst of","SNOMED","Observation","S","SNOMED","Measurement",NA,8
"Dir subst of","SNOMED","Observation","S","SNOMED","Observation","S",2
"Dir subst of","SNOMED","Observation","S","SNOMED","Observation",NA,1
"Dir subst of","SNOMED","Observation","S","SNOMED","Procedure","S",2556
"Dir subst of","SNOMED","Observation","S","SNOMED","Procedure",NA,55
"Dir subst of","SNOMED","Observation",NA,"SNOMED","Procedure","S",17
"Direct site of","SNOMED","Spec Anatomic Site","S","SNOMED","Measurement","S",21
"Direct site of","SNOMED","Spec Anatomic Site","S","SNOMED","Observation","S",10
"Disc indicator of","SNOMED","Drug",NA,"SNOMED","Device","S",86737
"Disc indicator of","SNOMED","Drug",NA,"SNOMED","Device",NA,23
"Disc indicator of","SNOMED","Drug",NA,"SNOMED","Drug",NA,67041
"Disp dose form of","SNOMED","Drug",NA,"SNOMED","Drug",NA,4
"Disp dose form of","SNOMED","Observation","S","SNOMED","Device","S",510
"Disp dose form of","SNOMED","Observation","S","SNOMED","Device",NA,18
"Disp dose form of","SNOMED","Observation","S","SNOMED","Drug",NA,149938
"Disp dose form of","SNOMED","Observation","S","SNOMED","Observation","S",10
"Disp dose form of","SNOMED","Observation",NA,"SNOMED","Device","S",2076
"Disp dose form of","SNOMED","Observation",NA,"SNOMED","Device",NA,41
"Disp dose form of","SNOMED","Observation",NA,"SNOMED","Drug",NA,17574
"Disp dose form of","SNOMED","Observation",NA,"SNOMED","Observation","S",6
"Disposition of","SNOMED","Observation","S","SNOMED","Device","S",42
"Disposition of","SNOMED","Observation","S","SNOMED","Device",NA,1
"Disposition of","SNOMED","Observation","S","SNOMED","Drug",NA,4311
"Disposition of","SNOMED","Observation","S","SNOMED","Observation","S",4668
"Disposition of","SNOMED","Observation","S","SNOMED","Observation",NA,18
"Disposition of","SNOMED","Observation",NA,"SNOMED","Device","S",1
"Disposition of","SNOMED","Observation",NA,"SNOMED","Drug",NA,74
"Disposition of","SNOMED","Observation",NA,"SNOMED","Observation","S",46
"Disposition of","SNOMED","Observation",NA,"SNOMED","Observation",NA,4
"Dose form group of","RxNorm","Drug","C","RxNorm","Drug","C",35961
"Dose form group of","RxNorm","Drug","C","RxNorm","Drug",NA,2808
"Dose form group of","RxNorm","Drug",NA,"RxNorm","Drug",NA,32
"Dose form of","SNOMED","Drug",NA,"SNOMED","Device","S",445
"Dose form of","SNOMED","Drug",NA,"SNOMED","Drug",NA,6424
"Dose form of","SNOMED","Drug",NA,"SNOMED","Observation",NA,42
"Dose form of","SNOMED","Observation","S","SNOMED","Device","S",136
"Dose form of","SNOMED","Observation","S","SNOMED","Drug",NA,59805
"Dose form of","SNOMED","Observation","S","SNOMED","Observation","S",5
"Dose form of","SNOMED","Observation","S","SNOMED","Observation",NA,230
"Dose form of","SNOMED","Observation",NA,"SNOMED","Device","S",1218
"Dose form of","SNOMED","Observation",NA,"SNOMED","Drug",NA,3048
"Dose form of","SNOMED","Observation",NA,"SNOMED","Observation","S",3
"Dose form of","SNOMED","Observation",NA,"SNOMED","Observation",NA,2
"Dose form unit of","SNOMED","Unit",NA,"SNOMED","Device","S",293
"Dose form unit of","SNOMED","Unit",NA,"SNOMED","Device",NA,1
"Dose form unit of","SNOMED","Unit",NA,"SNOMED","Drug",NA,10863
